Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
IJL Trott,England,68,10,2,166,2/31,91.5,83.0,5.44,0,0,2009,2013
CM Tuckett,West Indies,1,1,2,41,2/41,24.0,20.5,5.12,0,0,1998,1998
M van Jaarsveld,South Africa,11,2,2,18,1/0,15.5,9.0,3.48,0,0,2002,2004
M Venkataramana,India,1,1,2,36,2/36,30.0,18.0,3.6,0,0,1988,1988
C Viljoen,Namibia,2,2,2,14,2/6,15.0,7.0,2.8,0,0,2019,2019
KP Walmsley,New Zealand,2,2,2,117,1/53,60.0,58.5,5.85,0,0,2003,2003
GD Watson,Australia,2,1,2,28,2/28,24.0,14.0,3.5,0,0,1972,1972
DS Wesonga,Kenya,4,1,2,28,2/28,21.0,14.0,4.0,0,0,2010,2011
RK Whelan,Ireland,2,2,2,99,1/43,45.0,49.5,6.6,0,0,2007,2007
CM Willoughby,South Africa,3,3,2,148,2/39,84.0,74.0,5.28,0,0,2000,2003
Yamin Ahmadzai,Afghanistan,4,4,2,139,1/23,80.0,69.5,5.21,0,0,2015,2019
Zafar Gohar,Pakistan,1,1,2,54,2/54,30.0,27.0,5.4,0,0,2015,2015
Zahid Hussain,Canada,2,2,2,94,1/37,60.0,47.0,4.7,0,0,2011,2011
MZ Zahir,Canada,1,1,2,35,2/35,15.0,17.5,7.0,0,0,2009,2009
Zahir Khan,Afghanistan,1,1,2,55,2/55,30.0,27.5,5.5,0,0,2019,2019
Aamer Hameed,Pakistan,2,2,1,38,1/32,88.0,38.0,2.59,0,0,1977,1978
SA Abbott,Australia,1,1,1,25,1/25,30.0,25.0,5.0,0,0,2014,2014
Ahmed Kamal,Bangladesh,1,1,1,39,1/39,30.0,39.0,7.8,0,0,1999,1999
DS Airee,Nepal,6,3,1,51,1/19,78.0,51.0,3.92,0,0,2018,2019
GW Aldridge,New Zealand,2,2,1,98,1/45,114.0,98.0,5.15,0,0,2011,2011
