Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
RW Price,Zimbabwe,102,99,100,3575,4/22,53.7,35.75,3.99,1,0,2002,2012
NJ Astle,New Zealand,223,159,99,3809,4/43,48.9,38.47,4.71,1,0,1995,2007
Kuldeep Yadav,India,56,54,99,2455,6/25,29.8,24.79,4.98,4,1,2017,2019
CJ McKay,Australia,59,59,97,2364,5/28,30.5,24.37,4.78,4,2,2009,2014
PL Taylor,Australia,83,80,97,2740,4/38,40.5,28.24,4.17,1,0,1987,1992
N Boje,South Africa,115,108,96,3415,5/21,47.3,35.57,4.51,2,1,1995,2005
PJ Cummins,Australia,58,58,96,2603,5/70,31.5,27.11,5.14,5,1,2011,2019
JP Faulkner,Australia,69,67,96,2962,4/32,33.4,30.85,5.53,4,0,2013,2017
V Sehwag,India,251,146,96,3853,4/6,45.7,40.13,5.26,1,0,1999,2013
PA Strang,Zimbabwe,95,89,96,3173,5/21,45.3,33.05,4.37,2,2,1994,2001
TL Chatara,Zimbabwe,70,70,95,2905,4/33,36.1,30.57,5.08,1,0,2013,2019
PS de Villiers,South Africa,83,82,95,2636,4/27,46.5,27.74,3.57,2,0,1992,1997
AJ Hall,South Africa,88,78,95,2515,5/18,35.1,26.47,4.51,3,1,1999,2007
WD Parnell,South Africa,65,61,94,2738,5/48,30.9,29.12,5.64,3,2,2009,2017
SO Tikolo,Kenya,135,99,94,3215,4/41,42.7,34.2,4.8,2,0,1996,2014
LL Tsotsobe,South Africa,61,60,94,2347,4/22,31.5,24.96,4.75,7,0,2009,2013
MJ Henry,New Zealand,52,50,92,2437,5/30,29.3,26.48,5.4,7,2,2014,2019
SP Narine,West Indies,65,65,92,2435,6/27,38.4,26.46,4.12,4,2,2011,2016
AC Cummins,West Indies,76,74,91,2877,5/31,41.3,31.61,4.58,2,1,1991,2007
CB Mpofu,Zimbabwe,83,82,91,3513,6/52,42.8,38.6,5.4,2,1,2004,2019
BP Patterson,West Indies,59,58,90,2206,6/29,33.8,24.51,4.33,1,1,1986,1993
BL Cairns,New Zealand,78,75,89,2717,5/28,45.1,30.52,4.06,2,1,1974,1985
GH Dockrell,Ireland,87,85,89,3327,4/24,47.5,37.38,4.71,4,0,2010,2019
Saleem Malik,Pakistan,283,120,89,2959,5/35,39.3,33.24,5.06,1,1,1982,1999
MN Samuels,West Indies,207,134,89,4127,3/12,57.2,46.37,4.86,0,0,2000,2018
TM Alderman,Australia,65,65,88,2056,5/17,38.3,23.36,3.65,1,2,1981,1991
GF Lawson,Australia,79,79,88,2592,4/26,48.3,29.45,3.65,1,0,1980,1989
GJ Whittall,Zimbabwe,147,112,88,3481,4/35,46.1,39.55,5.14,1,0,1993,2003
AME Roberts,West Indies,56,56,87,1771,5/22,35.8,20.35,3.4,2,1,1975,1983
MM Patel,India,70,67,86,2603,4/29,36.6,30.26,4.95,3,0,2006,2011
Aamer Sohail,Pakistan,156,125,85,3703,4/22,56.8,43.56,4.59,1,0,1990,2000
YS Chahal,India,50,49,85,2246,6/42,31.2,26.42,5.06,2,2,2016,2019
IJ Harvey,Australia,73,70,85,2577,4/16,38.5,30.31,4.71,4,0,1997,2004
RM Hogg,Australia,71,67,85,2418,4/29,43.2,28.44,3.94,5,0,1979,1985
JR Ratnayeke,Sri Lanka,78,76,85,2866,4/23,42.0,33.71,4.81,1,0,1982,1990
ME Waugh,Australia,244,120,85,2938,5/24,43.3,34.56,4.78,1,1,1988,2002
MM Ali,England,101,95,84,4089,4/46,55.4,48.67,5.27,1,0,2014,2019
CD Collymore,West Indies,84,80,83,2924,5/51,49.0,35.22,4.3,1,1,1999,2007
Mohammad Irfan,Pakistan,60,60,83,2549,4/30,37.4,30.71,4.91,2,0,2010,2016
PV Simmons,West Indies,143,103,83,2876,4/3,46.7,34.65,4.44,2,0,1987,1999
Hasan Ali,Pakistan,53,51,82,2381,5/34,31.0,29.03,5.6,1,3,2016,2019
MJ McClenaghan,New Zealand,48,45,82,2313,5/58,28.4,28.2,5.94,6,1,2013,2016
CG Rackemann,Australia,52,52,82,1833,5/16,34.0,22.35,3.94,3,1,1983,1991
JEC Franklin,New Zealand,110,97,81,3354,5/42,47.5,41.4,5.22,0,1,2001,2013
Mohammad Amir,Pakistan,61,60,81,2400,5/30,37.1,29.62,4.77,1,1,2009,2019
DJG Sammy,West Indies,126,119,81,3851,4/26,61.1,47.54,4.66,1,0,2004,2015
RGD Willis,England,64,64,80,1968,4/11,44.9,24.6,3.28,4,0,1973,1984
CR Matthews,South Africa,56,55,79,1975,4/10,38.0,25.0,3.94,3,0,1991,1997
A Ranatunga,Sri Lanka,269,135,79,3757,4/14,59.6,47.55,4.78,1,0,1982,1999
AJ Bichel,Australia,67,66,78,2463,7/20,41.7,31.57,4.53,1,2,1997,2004
IDR Bradshaw,West Indies,62,62,78,2299,3/15,40.6,29.47,4.34,0,0,2004,2007
PJ Ongondo,Kenya,79,79,78,2350,5/51,39.7,30.12,4.54,1,1,1999,2011
RMH Binny,India,72,67,77,2260,4/29,38.4,29.35,4.58,3,0,1980,1987
Iftikhar Anjum,Pakistan,62,60,77,2430,5/30,38.4,31.55,4.92,2,1,2004,2010
P Kumar,India,68,67,77,2774,4/31,42.1,36.02,5.13,3,0,2007,2012
R McLaren,South Africa,54,51,77,2102,4/19,31.2,27.29,5.24,5,0,2009,2014
JE Emburey,England,61,61,76,2346,4/37,45.0,30.86,4.1,2,0,1980,1993
SJ Harmison,England,58,57,76,2481,5/33,38.1,32.64,5.13,2,1,2002,2009
RD King,West Indies,50,50,76,1807,4/25,34.2,23.77,4.16,2,0,1998,2005
Mahmudullah,Bangladesh,185,134,76,3527,3/4,53.8,46.4,5.17,0,0,2007,2019
RJ Ratnayake,Sri Lanka,70,70,76,2712,5/32,47.0,35.68,4.55,1,1,1982,1993
GB Brent,Zimbabwe,70,69,75,2776,4/22,45.2,37.01,4.91,3,0,1996,2008
RJ Peterson,South Africa,79,74,75,2680,4/12,43.7,35.73,4.9,3,0,2002,2014
S Sreesanth,India,53,52,75,2508,6/55,33.0,33.44,6.07,2,1,2005,2011
HMRKB Herath,Sri Lanka,71,67,74,2362,4/20,43.8,31.91,4.37,1,0,2004,2015
TJ Murtagh,Ireland,58,57,74,2290,5/21,40.8,30.94,4.54,4,1,2012,2019
W Watson,New Zealand,61,61,74,2247,4/27,43.9,30.36,4.14,1,0,1986,1994
AR Border,Australia,273,87,73,2071,3/20,36.4,28.36,4.66,0,0,1979,1994
RS Kalpage,Sri Lanka,86,81,73,2975,4/36,54.2,40.75,4.5,2,0,1992,1999
S Madan Lal,India,67,64,73,2137,4/20,43.3,29.27,4.05,2,0,1974,1987
J Botha,South Africa,78,75,72,2916,4/19,53.0,40.5,4.57,1,0,2005,2012
GS Chappell,Australia,74,67,72,2097,5/15,43.1,29.12,4.04,0,2,1971,1983
JR Hazlewood,Australia,44,43,72,1811,6/52,31.8,25.15,4.73,1,3,2010,2018
PL Symcox,South Africa,80,80,72,2762,4/28,55.4,38.36,4.15,1,0,1993,1999
DBL Powell,West Indies,55,55,71,2239,4/27,40.1,31.53,4.71,2,0,2002,2009
Sohail Tanvir,Pakistan,62,60,71,2566,5/48,41.5,36.14,5.22,3,1,2007,2014
SC Williams,Zimbabwe,131,107,71,3300,4/43,57.4,46.47,4.85,1,0,2005,2019
EA Brandes,Zimbabwe,59,59,70,2266,5/28,40.4,32.37,4.8,1,2,1987,1999
BM McMillan,South Africa,78,75,70,2589,4/32,51.7,36.98,4.28,1,0,1991,1998
NN Odhiambo,Kenya,69,67,70,2585,4/61,40.1,36.92,5.52,1,0,2006,2014
AD Russell,West Indies,56,55,70,2229,4/35,32.7,31.84,5.84,5,0,2011,2019
BA Stokes,England,95,80,70,2920,5/61,41.6,41.71,6.01,1,1,2011,2019
AR Caddick,England,54,53,69,1965,4/19,42.5,28.47,4.01,3,0,1993,2003
JP Duminy,South Africa,199,135,69,3143,4/16,50.9,45.55,5.36,1,0,2004,2019
SB Joshi,India,69,67,69,2509,5/6,49.0,36.36,4.44,1,1,1996,2001
MJ Santner,New Zealand,69,64,69,2510,5/50,44.6,36.37,4.89,0,1,2015,2019
Shafiul Islam,Bangladesh,59,59,69,2453,4/21,36.0,35.55,5.92,4,0,2010,2019
RP Singh,India,58,57,69,2343,4/35,37.1,33.95,5.48,2,0,2005,2011
RR Singh,India,136,117,69,2985,5/22,54.1,43.26,4.79,0,2,1989,2001
CPH Ramanayake,Sri Lanka,62,62,68,2049,4/17,42.1,30.13,4.29,1,0,1986,1995
HA Varaiya,Kenya,63,60,68,2048,4/25,43.3,30.11,4.16,2,0,2006,2014
MA Ealham,England,64,62,67,2197,5/15,48.1,32.79,4.08,1,2,1996,2001
LH Ferguson,New Zealand,36,36,67,1719,5/45,28.3,25.65,5.42,2,1,2016,2019
JR Hopes,Australia,84,75,67,2384,5/14,47.1,35.58,4.53,0,1,2005,2010
MS Kasprowicz,Australia,43,42,67,1674,5/45,33.2,24.98,4.51,1,2,1995,2005
Khaled Mahmud,Bangladesh,77,75,67,2865,4/19,50.5,42.76,5.07,1,0,1998,2006
C Sharma,India,65,63,67,2336,3/22,42.3,34.86,4.94,0,0,1983,1994
DT Johnston,Ireland,67,63,66,2115,5/14,44.3,32.04,4.33,1,1,2006,2013
CC Lewis,England,53,49,66,1942,4/30,39.7,29.42,4.43,4,0,1990,1998
Maninder Singh,India,59,57,66,2066,4/22,47.4,31.3,3.95,1,0,1983,1993
T Panyangara,Zimbabwe,65,65,65,3024,3/28,49.8,46.52,5.59,0,0,2004,2016
AL Phehlukwayo,South Africa,52,50,65,1936,4/22,31.9,29.78,5.59,3,0,2016,2019
C White,England,51,50,65,1726,5/21,36.3,26.55,4.38,1,1,1994,2003
A Zampa,Australia,48,48,65,2363,4/43,38.1,36.35,5.71,1,0,2016,2019
A Mishra,India,36,34,64,1511,6/48,29.9,23.6,4.72,2,2,2003,2016
DJ Nash,New Zealand,81,78,64,2622,4/38,53.3,40.96,4.6,1,0,1992,2002
SM Sharif,Scotland,44,44,64,1776,5/33,33.2,27.75,5.0,2,1,2011,2019
AR Cusack,Ireland,59,52,63,1510,5/20,31.0,23.96,4.63,1,1,2007,2015
NM Hauritz,Australia,58,56,63,2152,4/29,43.2,34.15,4.74,2,0,2002,2011
NL McCullum,New Zealand,84,81,63,2956,3/24,56.1,46.92,5.01,0,0,2009,2015
Mujeeb Ur Rahman,Afghanistan,40,39,63,1414,5/50,34.1,22.44,3.94,2,1,2017,2019
AD Mullally,England,50,49,63,1728,4/18,42.8,27.42,3.84,2,0,1996,2001
SLV Raju,India,53,52,63,2014,4/46,43.9,31.96,4.36,2,0,1990,1996
BA Reid,Australia,61,61,63,2203,5/53,51.5,34.96,4.06,0,1,1986,1992
Sarfraz Nawaz,Pakistan,45,45,63,1463,4/27,38.2,23.22,3.63,4,0,1973,1984
DE Bollinger,Australia,39,39,62,1482,5/35,31.3,23.9,4.57,3,2,2009,2011
SW Tait,Australia,35,34,62,1461,4/39,27.2,23.56,5.19,2,0,2007,2011
DT Hondo,Zimbabwe,56,56,61,2171,4/37,39.0,35.59,5.47,3,0,2001,2005
DR Smith,West Indies,105,73,61,2285,5/45,44.6,37.45,5.02,3,1,2004,2015
Syed Rasel,Bangladesh,52,52,61,2051,4/22,43.5,33.62,4.63,1,0,2005,2010
MA Wood,England,51,50,61,2385,4/33,42.3,39.09,5.53,2,0,2015,2019
CJ Anderson,New Zealand,49,43,60,1502,5/63,24.7,25.03,6.06,2,1,2013,2017
FH Edwards,West Indies,50,49,60,1812,6/22,35.6,30.2,5.08,0,2,2003,2009
RM Haq,Scotland,54,51,60,1975,5/54,43.8,32.91,4.5,2,1,2006,2015
JC Tredwell,England,45,44,60,1666,4/41,35.0,27.76,4.75,3,0,2010,2015
ALF de Mel,Sri Lanka,57,57,59,2237,5/32,46.3,37.91,4.9,1,2,1982,1987
NA Foster,England,48,48,59,1836,3/20,44.5,31.11,4.19,0,0,1984,1989
Gulbadin Naib,Afghanistan,65,60,59,1968,6/43,37.1,33.35,5.38,2,1,2011,2019
Hamid Hassan,Afghanistan,38,37,59,1330,5/45,29.3,22.54,4.6,2,1,2009,2019
JDS Neesham,New Zealand,59,55,59,1814,5/31,30.0,30.74,6.14,2,1,2013,2019
Shadab Khan,Pakistan,43,41,59,1750,4/28,35.3,29.66,5.02,3,0,2017,2019
Sikandar Raza,Zimbabwe,97,71,59,2269,3/21,48.2,38.45,4.78,0,0,2013,2019
Tapash Baisya,Bangladesh,56,56,59,2452,4/16,44.2,41.55,5.64,2,0,2002,2007
KM Jarvis,Zimbabwe,49,49,58,2088,4/17,40.7,36.0,5.3,2,0,2009,2019
HK Olonga,Zimbabwe,50,49,58,1977,6/19,35.5,34.08,5.76,2,2,1995,2003
GC Small,England,53,53,58,1942,4/31,48.1,33.48,4.17,1,0,1987,1992
Mudassar Bukhari,Netherlands,46,46,57,1601,3/17,35.7,28.08,4.71,0,0,2007,2014
MJ Clarke,Australia,245,106,57,2146,5/35,45.3,37.64,4.98,1,1,2003,2015
GRJ Matthews,Australia,59,54,57,2004,3/27,49.2,35.15,4.28,0,0,1984,1993
DS Mohanty,India,45,44,57,1662,4/56,35.0,29.15,4.99,1,0,1997,2001
T Mupariwa,Zimbabwe,40,40,57,1690,4/39,35.4,29.64,5.02,3,0,2004,2016
Arshad Khan,Pakistan,58,56,56,1948,4/33,50.4,34.78,4.14,1,0,1993,2006
R Telemachus,South Africa,37,37,56,1565,4/43,34.2,27.94,4.89,1,0,1998,2006
XJ Doherty,Australia,60,56,55,2224,4/28,50.7,40.43,4.77,3,0,2010,2015
AF Giles,England,62,57,55,2069,5/57,51.9,37.61,4.34,0,1,1997,2005
Tauseef Ahmed,Pakistan,70,67,55,2247,4/38,59.0,40.85,4.14,1,0,1982,1990
RN ten Doeschate,Netherlands,33,33,55,1327,4/31,28.7,24.12,5.03,3,0,2006,2011
JR Thomson,Australia,50,50,55,1942,4/67,49.0,35.3,4.32,1,0,1975,1985
JV Coney,New Zealand,88,70,54,2039,4/46,54.2,37.75,4.17,1,0,1979,1987
N Pradeep,Sri Lanka,42,40,54,1998,4/31,36.9,37.0,6.0,2,0,2012,2019
HH Pandya,India,54,53,54,2195,3/31,43.8,40.64,5.56,0,0,2016,2019
AR Adams,New Zealand,42,40,53,1643,5/22,35.5,31.0,5.22,2,1,2001,2007
SR Clark,Australia,39,38,53,1477,4/54,34.5,27.86,4.84,2,0,2005,2009
Mohammad Naveed,UAE,39,39,53,1757,5/28,36.5,33.15,5.43,0,1,2014,2019
LS Pascoe,Australia,29,28,53,1066,5/30,29.5,20.11,4.07,4,1,1977,1982
SMSM Senanayake,Sri Lanka,49,47,53,1874,4/13,44.4,35.35,4.76,1,0,2012,2015
GI Allott,New Zealand,31,31,52,1207,4/35,29.3,23.21,4.73,4,0,1997,2000
NM Coulter-Nile,Australia,32,32,52,1555,4/48,32.2,29.9,5.56,1,0,2013,2019
KSC de Silva,Sri Lanka,38,37,52,1323,3/18,31.1,25.44,4.9,0,0,1996,2000
DS Lehmann,Australia,117,62,52,1445,4/7,34.4,27.78,4.83,1,0,1996,2005
TM Moody,Australia,76,66,52,2014,3/25,53.7,38.73,4.32,0,0,1987,1999
KA Pollard,West Indies,107,74,52,2025,3/27,40.6,38.94,5.74,0,0,2007,2019
DJ Willey,England,46,45,52,1889,4/34,37.9,36.32,5.75,2,0,2015,2019
A Dananjaya,Sri Lanka,36,34,51,1506,6/29,34.7,29.52,5.09,2,2,2012,2019
VC Drakes,West Indies,34,34,51,1293,5/33,32.1,25.35,4.73,3,2,1995,2004
BJ McCarthy,Ireland,27,27,51,1360,5/46,27.2,26.66,5.87,2,1,2016,2019
AM Blignaut,Zimbabwe,54,53,50,2063,4/43,46.9,41.26,5.27,2,0,1999,2010
GJ Maxwell,Australia,110,86,50,2525,4/46,53.9,50.5,5.61,2,0,2012,2019
JA Morkel,South Africa,58,52,50,1899,4/29,41.4,37.98,5.49,2,0,2004,2012
PM Seelaar,Netherlands,41,41,50,1476,4/15,38.0,29.52,4.65,1,0,2006,2019
T Thushara,Sri Lanka,38,38,50,1393,5/47,33.5,27.86,4.98,0,1,2008,2010
JH Davey,Scotland,31,29,49,1082,6/28,26.5,22.08,4.99,1,2,2010,2019
CD McMillan,New Zealand,197,74,49,1717,3/20,38.3,35.04,5.48,0,0,1997,2007
AR Nurse,West Indies,54,49,49,2125,4/51,48.6,43.36,5.34,2,0,2016,2019
JS Patel,New Zealand,43,42,49,1691,3/11,41.1,34.51,5.03,0,0,2005,2017
GR Dilley,England,36,36,48,1291,4/23,42.5,26.89,3.79,3,0,1979,1988
JK Kamande,Kenya,86,71,48,2169,4/36,54.5,45.18,4.96,1,0,1999,2011
S Lee,Australia,45,43,48,1245,5/33,35.5,25.93,4.37,1,1,1995,2001
JF Mooney,Ireland,64,50,48,1635,4/27,37.4,34.06,5.45,2,0,2006,2015
CH Morris,South Africa,42,40,48,1756,4/31,39.4,36.58,5.56,2,0,2013,2019
ARC Fraser,England,42,42,47,1412,4/22,50.8,30.04,3.54,1,0,1989,1999
Shahadat Hossain,Bangladesh,51,50,47,2143,3/34,46.7,45.59,5.84,0,0,2006,2013
M Amarnath,India,85,64,46,1971,3/12,59.3,42.84,4.33,0,0,1975,1989
PW Borren,Netherlands,58,51,46,1620,4/32,43.0,35.21,4.91,1,0,2006,2014
N Chopra,India,39,37,46,1286,5/21,39.8,27.95,4.2,1,1,1998,2000
AC Evans,Scotland,36,35,46,1499,4/41,36.4,32.58,5.35,2,0,2009,2019
NAM McLean,West Indies,45,45,46,1729,3/21,46.0,37.58,4.89,0,0,1996,2003
Mirwais Ashraf,Afghanistan,46,45,46,1360,4/35,43.6,29.56,4.06,1,0,2009,2016
Mohammad Asif,Pakistan,38,36,46,1524,3/28,42.1,33.13,4.71,0,0,2005,2010
SB O'Connor,New Zealand,38,38,46,1396,5/39,32.3,30.34,5.63,1,2,1997,2000
Samiullah Shinwari,Afghanistan,84,65,46,1729,4/31,45.8,37.58,4.91,1,0,2009,2019
BC Strang,Zimbabwe,49,48,46,1718,6/20,54.2,37.34,4.13,1,1,1995,2001
MR Whitney,Australia,38,38,46,1249,4/34,45.7,27.15,3.55,2,0,1983,1993
RDB Croft,England,50,49,45,1743,3/51,54.8,38.73,4.24,0,0,1996,2001
GF Labrooy,Sri Lanka,44,44,45,1876,5/57,51.2,41.68,4.87,1,1,1986,1992
NO Miller,West Indies,50,46,45,1660,4/43,47.2,36.88,4.68,2,0,2008,2018
CM Old,England,32,31,45,999,4/8,39.0,22.2,3.41,2,0,1973,1981
H Osinde,Canada,42,41,45,1389,4/26,37.6,30.86,4.92,2,0,2006,2013
AR Patel,India,38,35,45,1409,3/34,42.4,31.31,4.43,0,0,2014,2017
DN Patel,New Zealand,75,69,45,2261,3/22,72.2,50.24,4.17,0,0,1987,1997
EC Rainsford,Zimbabwe,39,39,45,1401,5/36,42.3,31.13,4.4,1,1,2004,2010
Taskin Ahmed,Bangladesh,32,31,45,1401,5/28,31.4,31.13,5.94,2,1,2014,2017
AR Whittall,Zimbabwe,63,62,45,2251,3/23,68.5,50.02,4.37,0,0,1996,2000
HS Baidwan,Canada,32,32,44,1348,3/19,35.2,30.63,5.21,0,0,2008,2014
SP Davis,Australia,39,39,44,1133,3/10,45.8,25.75,3.37,0,0,1986,1988
S Elworthy,South Africa,39,37,44,1235,3/17,38.6,28.06,4.35,0,0,1998,2002
AH Gray,West Indies,25,24,44,835,6/50,28.8,18.97,3.94,2,1,1985,1991
RJ Harris,Australia,21,20,44,832,5/19,23.4,18.9,4.84,0,3,2009,2012
VJ Marks,England,34,32,44,1135,5/20,41.7,25.79,3.7,0,2,1980,1988
MR Marsh,Australia,53,50,44,1564,5/33,38.6,35.54,5.52,1,1,2011,2018
Nazmul Hossain,Bangladesh,38,37,44,1386,4/40,37.4,31.5,5.04,1,0,2004,2012
DR Pringle,England,44,44,44,1677,4/42,54.0,38.11,4.22,1,0,1982,1993
RP Snell,South Africa,42,42,44,1574,5/40,47.6,35.77,4.5,2,1,1991,1996
DP Viljoen,Zimbabwe,53,46,44,1639,3/20,47.1,37.25,4.73,0,0,1997,2001
JC Adams,West Indies,127,56,43,1499,5/37,43.1,34.86,4.84,0,1,1992,2001
CR Brathwaite,West Indies,44,40,43,1766,5/27,42.4,41.06,5.8,2,1,2011,2019
CJ Jordan,England,31,31,43,1521,5/29,35.6,35.37,5.95,0,1,2013,2016
Shapoor Zadran,Afghanistan,44,44,43,1589,4/24,46.1,36.95,4.8,2,0,2009,2019
PR Stirling,Ireland,114,73,43,1902,6/55,55.6,44.23,4.77,1,1,2008,2019
MA Suji,Kenya,64,64,43,2190,4/24,68.6,50.93,4.45,1,0,1996,2006
KLT Arthurton,West Indies,105,44,42,1159,4/31,32.9,27.59,5.02,3,0,1988,1999
AC Botha,Ireland,42,33,42,1134,4/19,37.1,27.0,4.36,2,0,2006,2011
JW Hastings,Australia,29,29,42,1256,6/45,35.3,29.9,5.07,1,1,2010,2017
Imad Wasim,Pakistan,53,51,42,1865,5/14,55.0,44.4,4.83,0,1,2015,2019
AR McBrine,Ireland,42,40,42,1489,3/38,48.6,35.45,4.36,0,0,2014,2019
SA Thomson,New Zealand,56,51,42,1602,3/14,50.5,38.14,4.53,0,0,1990,1996
Aftab Alam,Afghanistan,27,27,41,1033,4/25,30.6,25.19,4.93,1,0,2010,2019
JAR Blain,Scotland,33,32,41,1173,5/22,32.4,28.6,5.29,1,1,1999,2009
DG Cork,England,32,32,41,1368,3/27,43.2,33.36,4.63,0,0,1992,2002
CE Cuffy,West Indies,41,41,41,1436,4/24,52.5,35.02,4.0,1,0,1994,2002
S Dhaniram,Canada,44,41,41,1240,5/32,43.1,30.24,4.2,1,1,2006,2010
SM Ervine,Zimbabwe,42,40,41,1561,3/29,40.2,38.07,5.67,0,0,2001,2004
HA Gomes,West Indies,83,36,41,1045,4/31,32.8,25.48,4.66,2,0,1978,1987
AF Milne,New Zealand,40,39,41,1581,3/49,43.9,38.56,5.26,0,0,2012,2017
L Ngidi,South Africa,22,22,41,947,4/51,25.0,23.09,5.53,2,0,2018,2019
VD Philander,South Africa,30,28,41,986,4/12,31.1,24.04,4.62,2,0,2007,2015
Amir Hamza,Afghanistan,31,31,40,1016,4/17,38.8,25.4,3.92,1,0,2012,2017
RP Arnold,Sri Lanka,180,84,40,1739,3/47,53.9,43.47,4.83,0,0,1997,2007
RS Bopara,England,120,74,40,1523,4/38,46.5,38.07,4.91,1,0,2007,2015
Saleem Jaffar,Pakistan,39,39,40,1382,3/25,47.5,34.55,4.36,0,0,1986,1990
Shaheen Shah Afridi,Pakistan,19,18,40,847,6/35,23.1,21.17,5.5,4,1,2018,2019
SJ Benn,West Indies,47,46,39,1913,4/18,61.2,49.05,4.8,3,0,2008,2016
PT Collins,West Indies,30,30,39,1212,5/43,40.4,31.07,4.61,0,1,1999,2005
SS Cottrell,West Indies,30,28,39,1293,5/46,33.6,33.15,5.9,1,1,2015,2019
WW Davis,West Indies,35,35,39,1302,7/51,49.3,33.38,4.06,0,1,1983,1988
GD Elliott,New Zealand,83,56,39,1179,4/31,33.3,30.23,5.43,1,0,2008,2016
WK McCallan,Ireland,39,35,39,1208,4/30,46.2,30.97,4.01,2,0,2006,2009
H Masakadza,Zimbabwe,209,85,39,1636,3/39,47.2,41.94,5.32,0,0,2001,2019
TBA May,Australia,47,46,39,1772,3/19,64.2,45.43,4.24,0,0,1987,1995
MO Odumbe,Kenya,61,52,39,1807,4/38,57.3,46.33,4.84,1,0,1996,2003
IS Sodhi,New Zealand,31,30,39,1430,4/58,39.6,36.66,5.54,1,0,2015,2019
Akram Raza,Pakistan,49,48,38,1611,3/18,68.4,42.39,3.71,0,0,1989,1995
D Bishoo,West Indies,42,40,38,1668,3/30,53.2,43.89,4.94,0,0,2011,2019
MG Hughes,Australia,33,33,38,1115,4/44,43.1,29.34,4.08,1,0,1988,1993
AJ Ireland,Zimbabwe,26,26,38,1115,3/41,34.8,29.34,5.04,0,0,2005,2007
Nadeem Ahmed,Hong Kong,25,25,38,932,4/26,34.9,24.52,4.21,4,0,2004,2018
Rohan Mustafa,UAE,34,33,38,1245,5/25,41.6,32.76,4.71,1,1,2014,2019
R Vinay Kumar,India,31,31,38,1423,4/30,37.7,37.44,5.94,1,0,2010,2013
TJ Friend,Zimbabwe,51,45,37,1779,4/55,52.1,48.08,5.53,1,0,2000,2004
MR Gillespie,New Zealand,32,31,37,1369,4/58,41.1,37.0,5.4,1,0,2006,2009
EE Hemmings,England,33,32,37,1294,4/52,47.3,34.97,4.43,1,0,1982,1991
M Kartik,India,37,36,37,1612,6/27,51.5,43.56,5.07,0,1,2002,2007
Mehidy Hasan Miraz,Bangladesh,38,37,37,1520,4/29,52.8,41.08,4.66,1,0,2017,2019
KS Williamson,New Zealand,149,65,37,1310,4/22,39.6,35.4,5.35,1,0,2010,2019
HMCM Bandara,Sri Lanka,31,28,36,1232,4/31,40.8,34.22,5.02,2,0,2006,2010
EAE Baptiste,West Indies,43,43,36,1511,2/10,61.5,41.97,4.09,0,0,1983,1990
MG Bevan,Australia,232,67,36,1655,3/36,54.6,45.97,5.05,0,0,1994,2004
JM Davison,Canada,32,31,36,1067,3/15,39.8,29.63,4.46,0,0,2003,2011
AIC Dodemaide,Australia,24,24,36,753,5/21,36.8,20.91,3.4,1,1,1988,1993
SB Doull,New Zealand,42,42,36,1459,4/25,48.4,40.52,5.01,1,0,1992,2000
GA Gooch,England,125,60,36,1516,3/19,57.3,42.11,4.4,0,0,1976,1995
S Randiv,Sri Lanka,31,29,36,1214,5/42,39.9,33.72,5.06,0,1,2009,2016
Khurram Chohan,Canada,25,24,36,1029,5/68,32.9,28.58,5.2,3,1,2009,2014
SK Raina,India,226,101,36,1811,3/34,59.0,50.3,5.11,0,0,2005,2018
I Wardlaw,Scotland,22,21,36,1036,4/22,30.7,28.77,5.61,2,0,2013,2015
CJ Chibhabha,Zimbabwe,103,58,35,1615,4/25,47.6,46.14,5.81,1,0,2005,2018
M Hendrick,England,22,22,35,681,5/31,35.6,19.45,3.27,2,1,1973,1981
NC Johnson,Zimbabwe,48,39,35,1220,4/42,42.9,34.85,4.87,1,0,1998,2000
Naeem Islam,Bangladesh,59,48,35,1407,3/32,49.8,40.2,4.84,0,0,2008,2014
CO Obuya,Kenya,104,49,35,1637,5/24,51.9,46.77,5.4,0,1,2001,2014
MRJ Watt,Scotland,27,27,35,1033,4/42,41.2,29.51,4.29,1,0,2016,2019
BA Williams,Australia,25,24,35,814,5/22,34.3,23.25,4.05,1,2,2002,2004
KJ Abbott,South Africa,28,27,34,1051,4/21,38.3,30.91,4.83,2,0,2013,2016
L Balaji,India,30,30,34,1344,4/48,42.5,39.52,5.57,1,0,2002,2009
TL Best,West Indies,26,26,34,1157,4/35,38.2,34.02,5.34,2,0,2004,2014
PKD Chase,Ireland,25,24,34,1356,3/33,36.4,39.88,6.57,0,0,2015,2018
OD Gibson,West Indies,15,15,34,621,5/40,21.7,18.26,5.04,2,2,1995,1997
VB John,Sri Lanka,45,45,34,1655,3/28,67.9,48.67,4.29,0,0,1982,1987
RDM Leverock,Bermuda,32,32,34,1123,5/53,49.5,33.02,4.0,0,1,2006,2009
RR Powar,India,31,29,34,1191,3/24,45.1,35.02,4.65,0,0,2004,2007
JA Rennie,Zimbabwe,44,43,34,1564,3/27,57.7,46.0,4.77,0,0,1993,2000
KW Richardson,Australia,22,22,34,1061,5/68,33.6,31.2,5.56,0,1,2013,2019
Tahir Naqqash,Pakistan,40,37,34,1240,3/23,46.9,36.47,4.66,0,0,1980,1985
